"ASIGNATURA","#ESTUDIANTE","#MUJERES","#HOMBRE","SEMESTRE","MODALIDAD","TIPOESTRATEGIA","ESTRATEGIA","COMPETENCIA_EVALUAR","TIPOHERRAMIENTA","HERRAMIENTA","TIPOLICENCIA","FUNCIONES","INTERACCION","DISENO","USABILIDAD","DOCUMENTACION","ACTUALIZACIONES","%APROVECHAMIENTO","%APROBACION","VALORACION"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","Doceri","Libre","Encuestas","1","3","1","2","3","0.6","1","4"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Organización de contenidos","Doodle","Hibrida","Encuestas","3","4","2","4","5","3.25","1.1","4"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Creacion de video","Doodly","Propietaria","Encuestas","5","1","5","1","2","4.3","4.45","0.5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Aprendizaje Gestion de aprendizaje","Drillster","Libre","Encuestas","2","4","2","1","5","1.7","1.4","4.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Organización de contenidos","DROPBOX","Hibrida","Encuestas","1","4","5","2","1","3.45","0.2","4.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Rœbrica","Cognitivo","Organización de contenidos","dropio ","Propietaria","Encuestas","3","1","2","5","2","4.35","3.1","4"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Busquedad de informacion","DUCKDUCKGO","Libre","Encuestas","2","4","2","3","1","3.1","0.85","3.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Aprendizaje Gestion de aprendizaje","DUOLINGO","Hibrida","Encuestas","4","1","1","1","5","0","4.65","1.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Infografias","Easelly","Propietaria","Video","5","4","1","1","4","4.55","0.4","1.5"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Aprendizaje Gestion de aprendizaje","EASYGENERATOR","Libre","Video","1","2","4","4","2","3.7","3.6","1.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Busquedad de informacion","Ecosia","Hibrida","Video","1","3","4","5","2","0.2","0.5","0.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Organización de contenidos","edCast","Propietaria","Video","4","2","2","5","5","2.9","4.9","1"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Comunicacion en linea y webconference","Edmodo","Libre","Video","2","3","2","2","5","4.25","0.5","4"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Presentaciones y multimedia","EDpuzzle","Hibrida","Video llamada","3","2","4","3","5","2.25","3.35","0.5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Creacion de BLOG","Edublogs","Propietaria","Video llamada","4","3","2","2","2","3.85","2.05","4.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Creacion de objetos virtuales de aprendizaje","Edulastic","Libre","Video llamada","1","4","2","4","5","0.7","2.35","0.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Presentaciones y multimedia","edX","Hibrida","Video llamada","1","3","4","4","5","4.9","4.8","2.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Aprendizaje Gestion de aprendizaje","eFront","Propietaria","Video llamada","1","3","5","2","5","2.2","3.8","1"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Aprendizaje Gestion de aprendizaje","E-Learning Heroes","Libre","Video llamada","3","4","2","2","5","1.8","0.65","2"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Comunicacion en linea y webconference","ELB Learning","Hibrida","Multimedia","3","3","4","4","3","0.85","0.2","1"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Aprendizaje Gestion de aprendizaje","elink","Propietaria","Multimedia","1","2","5","3","3","1.65","3.8","3"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de objetos virtuales de aprendizaje","Elgg","Libre","Multimedia","3","3","3","2","4","3.25","4.9","1.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Creacion de actividades educativas-interactivas","Elucidat","Hibrida","Multimedia","3","5","1","1","1","0.25","3.8","5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Presentaciones y multimedia","emaze","Propietaria","Multimedia","5","2","5","3","2","0.6","4.85","3.5"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Organización de contenidos","Etherpad","Libre","Multimedia","1","5","5","3","5","2.7","1.25","5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Organización de contenidos","EVERNOTE","Hibrida","Tablero","1","5","3","2","1","3.4","4.7","1.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Ofimaticas","EXCEL","Propietaria","Tablero","3","4","4","5","4","1.65","4","3"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Creacion de actividades educativas-interactivas","eXe","Libre","Tablero","5","5","3","4","1","3.9","2.65","4.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Creacion de video","Explaindio ","Hibrida","Tablero","5","4","4","4","5","3.35","1.55","0.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Presentaciones y multimedia","Explain Everything","Propietaria","Tablero","4","3","5","1","2","4.9","3.5","1"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Comunicacion en linea y webconference","FACEBOOK","Libre","Tablero","3","4","5","2","3","0.05","4","1.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Creacion de actividades educativas-interactivas","Factile","Hibrida","Tablero","3","1","4","5","4","4.85","3.1","0.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Creacion de video","Filmora","Propietaria","Tablero","5","5","5","4","5","1.05","3.65","2.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Busquedad de informacion","FIREFOX","Libre","Tablero","3","4","3","3","3","4.25","2.75","2"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Creacion de video","Fleeq","Hibrida","Tablero","3","3","3","5","4","1.75","0.75","2.5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Creacion de video","Flip camcorder ","Propietaria","Encuestas","1","1","3","2","2","2.35","4.85","3.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Organización de contenidos","Flipboard","Libre","Encuestas","2","3","1","1","4","4.3","1.55","4"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Creacion de video","Flipgrid","Hibrida","Encuestas","1","5","1","1","3","0.05","0.15","0.5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Creacion de actividades educativas-interactivas","Flippity","Propietaria","Encuestas","2","5","2","5","4","3.9","3.95","2.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Comunicacion en linea y webconference","Flock ","Libre","Encuestas","1","2","5","1","4","3.95","4.55","2.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Creacion de actividades educativas-interactivas","Flubaroo","Hibrida","Encuestas","5","4","2","5","2","2.15","0.85","1"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Comunicacion en linea y webconference","Franz","Propietaria","Encuestas","1","2","2","4","2","3.7","0.45","5"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Repositorio de imagenes","Freepik","Libre","Encuestas","5","1","5","4","1","2.1","4.6","2.5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Mapas mentales","Freemind","Hibrida","Encuestas","2","2","3","5","2","4.5","2.95","5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Aprendizaje Gestion de aprendizaje","FutureLearn","Propietaria","Video","5","2","1","3","3","2.4","4.05","0.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Comunicacion en linea y webconference","Fuze meeting","Libre","Video","5","3","1","4","5","0.55","4.5","3"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Presentaciones y multimedia","GarageBand","Hibrida","Video","4","5","2","2","3","1.7","2","1"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Creacion de actividades educativas-interactivas","GENIALLY","Propietaria","Video","1","5","2","3","3","4.5","1.85","1"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Aprendizaje Gestion de aprendizaje","GETABSTRACT","Libre","Video","2","4","1","2","3","3.55","2.8","3.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Creacion de actividades educativas-interactivas","Gimkit","Hibrida","Video llamada","4","5","4","3","2","4.85","3.85","0.5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Presentaciones y multimedia","Gimp","Propietaria","Video llamada","4","5","1","3","2","2.1","3.4","3"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Mapas mentales","Gliffy","Libre","Video llamada","3","5","5","2","1","3.45","3.3","3"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Creacion de actividades educativas-interactivas","GlogsterEDU ","Hibrida","Video llamada","2","5","1","5","1","4.15","0.6","4"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Comunicacion en linea y webconference","GMAIL","Propietaria","Video llamada","2","4","4","1","4","1.1","4.45","5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de video","GoBrunch","Libre","Video llamada","3","3","4","5","4","2.25","4.3","2"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Aprendizaje Gestion de aprendizaje","Go Conqr","Hibrida","Multimedia","3","5","4","1","3","4","4.45","5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Organización de contenidos","GoodReader","Propietaria","Multimedia","3","5","1","1","2","1.55","1.85","3"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Organización de contenidos","GOOOGLE ALERTS","Libre","Multimedia","5","1","1","3","1","4.75","0.4","4.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Organización de contenidos","Google Analytics","Hibrida","Multimedia","3","4","3","5","1","4.3","3.2","3.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Organización de contenidos","Google Assistant","Propietaria","Multimedia","4","5","5","4","2","1.6","1.15","5"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Organización de contenidos","Google Arts & Culture","Libre","Multimedia","2","1","5","1","2","4.15","1.1","3.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Organización de contenidos","GOOGLE CALENDAR","Hibrida","Tablero","5","5","3","2","2","3.6","2.8","1.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Busquedad de informacion","GOOGLE CHROME","Propietaria","Tablero","4","4","5","1","4","3.9","4.95","0.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Presentaciones y multimedia","GOOGLE CLASSROOM","Libre","Tablero","1","5","2","2","5","0.7","2.9","1"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Busquedad de informacion","Google Currents ","Hibrida","Tablero","4","5","2","2","1","4","1.05","3.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Organización de contenidos","Google Data Studio","Propietaria","Tablero","1","2","4","5","2","1.65","1.75","2.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Comunicacion en linea y webconference","Google Desktop ","Libre","Tablero","4","3","4","4","3","1.8","0.65","2"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Ofimaticas","GOOGLE DOCS & DRIVE","Hibrida","Tablero","1","5","3","4","4","0","0","3.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Creacion de actividades educativas-interactivas","GOOGLE FORMS","Propietaria","Tablero","1","4","3","1","4","3","0.85","1.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Creacion de objetos virtuales de aprendizaje","Google Glide","Libre","Tablero","5","2","1","2","5","4.55","2.85","3"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Comunicacion en linea y webconference","Google Groups","Hibrida","Tablero","5","3","4","3","3","2","4.15","4"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","Google Jamboard","Propietaria","Encuestas","1","1","1","4","3","4.95","3.55","3.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Presentaciones y multimedia","Google Keep","Libre","Encuestas","5","2","5","2","2","3.6","1.2","2.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Busquedad de informacion","Google Lens","Hibrida","Encuestas","3","4","5","2","3","1.05","2.3","2.5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Comunicacion en linea y webconference","GOOGLE MEET","Propietaria","Encuestas","2","3","5","2","5","0.75","2.6","5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Busquedad de informacion","GOOGLE SCHOLAR","Libre","Encuestas","2","1","1","3","3","4.85","4.45","2"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Rœbrica","Cognitivo","Busquedad de informacion","GOOGLE SEARCH","Hibrida","Encuestas","1","5","4","5","3","0.75","0.45","2.5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Comunicacion en linea y webconference","Google Talk ","Propietaria","Encuestas","2","4","2","4","5","3.85","4.45","4.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Busquedad de informacion","GOOGLE TRANSLATE","Libre","Encuestas","4","1","2","3","1","1.4","1.05","1.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Organización de contenidos","Google Wave ","Hibrida","Encuestas","4","2","3","2","4","0.65","2.8","0.5"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Aprendizaje Gestion de aprendizaje","GOOGLE WORKSPACE","Propietaria","Video","1","5","3","5","4","0.2","2.5","1.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Comunicacion en linea y webconference","GoToMeeting","Libre","Video","3","2","1","5","5","1.85","4.1","0.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Organización de contenidos","GRAMMARLY","Hibrida","Video","3","3","1","3","1","4.55","4.85","1"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Presentaciones y multimedia","Greenshot","Propietaria","Video","2","1","1","5","2","3","2.5","1"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Presentaciones y multimedia","H5P","Libre","Video","3","1","2","3","1","1.7","4.6","5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Presentaciones y multimedia","Haiku Deck","Hibrida","Video llamada","2","3","1","4","5","0.6","4.85","2"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Creacion de video","Handbrake","Propietaria","Video llamada","4","4","2","5","3","2.7","0.4","4.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Organización de contenidos","Harvest","Libre","Video llamada","4","5","5","4","4","2.35","1.15","2.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Organización de contenidos","Hemingway app","Hibrida","Video llamada","4","1","2","2","3","1.3","2.6","0.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Creacion de video","HIHAHO","Propietaria","Video llamada","1","2","3","1","5","1.45","2.5","0.5"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Organización de contenidos","Hootsuite","Libre","Video llamada","2","2","1","3","5","4.5","4.35","3.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Organización de contenidos","Hopin","Hibrida","Multimedia","2","2","4","5","2","3.05","0.45","1.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de actividades educativas-interactivas","Hot Potatoes","Propietaria","Multimedia","1","3","2","2","2","3.15","2.85","1"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Organización de contenidos","Ifttt","Libre","Multimedia","1","1","2","4","5","0.05","4.85","2.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Organización de contenidos","Ilias","Hibrida","Multimedia","3","3","1","4","5","3.2","4.5","3"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Ofimaticas","ilovePDFcom","Propietaria","Multimedia","1","4","1","1","5","0.2","2.65","1.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Creacion de actividades educativas-interactivas","Immersive Reader","Libre","Multimedia","4","2","2","5","2","3.95","0.7","4"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Infografias","Infogram","Hibrida","Tablero","3","5","5","1","2","3.65","2.9","3"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Repositorio de imagenes","Inkscape","Propietaria","Tablero","1","1","2","5","1","3.7","4.15","2"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Mapas mentales","Inspiration ","Libre","Tablero","3","3","1","4","4","2.6","4.2","1"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Comunicacion en linea y webconference","INSTAGRAM","Hibrida","Tablero","1","5","3","4","5","4.4","2.25","1"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Organización de contenidos","Instapaper","Propietaria","Tablero","3","5","1","5","5","1.9","3.15","3.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Creacion de video","iorad","Libre","Tablero","2","2","1","5","4","3.2","2.8","2"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Aprendizaje Gestion de aprendizaje","isEazy","Hibrida","Tablero","3","3","1","4","3","3.8","0","0.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Aprendizaje Gestion de aprendizaje","iSpring","Propietaria","Tablero","4","5","4","4","5","4.7","3.65","4.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Comunicacion en linea y webconference","italki","Libre","Tablero","4","3","5","5","2","3.6","4.95","0.5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Presentaciones y multimedia","iVoox","Hibrida","Tablero","4","5","3","2","4","4.5","3.1","3.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","Jaiku ","Propietaria","Encuestas","3","1","5","4","5","0.95","4.9","1.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Organización de contenidos","Jing ","Libre","Encuestas","5","4","5","5","5","1.8","4.7","4"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Comunicacion en linea y webconference","JitsiMeet","Hibrida","Encuestas","3","5","3","5","4","0","1.9","2.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Comunicacion en linea y webconference","Joinme  ","Propietaria","Encuestas","3","4","2","4","3","2.75","1.4","0.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Repositorio de imagenes","Jott ","Libre","Encuestas","2","1","1","2","3","4.6","4.4","3"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Creacion de actividades educativas-interactivas","KAHOOT","Hibrida","Encuestas","3","1","3","5","2","0.15","3","3"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Creacion de video","Kaltura","Propietaria","Encuestas","5","1","2","5","1","0.5","4.4","4"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Presentaciones y multimedia","Khan Academy","Libre","Encuestas","3","3","5","1","4","1.45","1.35","0.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Aprendizaje Gestion de aprendizaje","Kinteract","Hibrida","Encuestas","1","2","3","3","3","3.05","0.1","2"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de video","Kizoa","Propietaria","Video","2","4","1","5","2","0.95","2.65","3"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Presentaciones y multimedia","Knovio","Libre","Video","1","4","2","1","4","3.25","2.3","4"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Aprendizaje Gestion de aprendizaje","Laracasts","Hibrida","Video","4","4","5","3","4","2.25","0.3","5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Aprendizaje Gestion de aprendizaje","LearnDash","Propietaria","Video","4","1","2","4","3","0.6","0.85","3.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Presentaciones y multimedia","Learnist ","Libre","Video","5","2","1","1","3","1.5","4.95","1.5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Aprendizaje Gestion de aprendizaje","Lessonly","Hibrida","Video llamada","1","2","2","2","2","4.55","4.5","4"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Aprendizaje Gestion de aprendizaje","LessonUp","Propietaria","Video llamada","5","1","5","3","5","0.6","3.7","0.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Filtrado y selección de informacion ","LibraryThing","Libre","Video llamada","1","4","4","4","5","0.85","2.35","0.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Ofimaticas","LibreOffice","Hibrida","Video llamada","5","4","2","1","1","0.15","0.8","1"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de video","LICEcap","Propietaria","Video llamada","5","4","1","1","4","1.65","3.75","3"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Organización de contenidos","LINKEDIN","Libre","Video llamada","3","1","1","2","5","1.3","3.25","3.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Aprendizaje Gestion de aprendizaje","LINKEDIN LEARNING","Hibrida","Multimedia","5","3","3","5","5","1.65","1.2","2.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Aprendizaje Gestion de aprendizaje","Lino","Propietaria","Multimedia","4","4","4","5","2","2.55","4.45","4"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Organización de contenidos","LiveBinders","Libre","Multimedia","5","3","3","4","5","3.25","1.25","2.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Creacion de actividades educativas-interactivas","LIVE WORKSHEETS","Hibrida","Multimedia","1","4","5","5","5","4.6","3","2"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Creacion de video","LOOM","Propietaria","Multimedia","5","3","1","1","4","1.6","0.05","2.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Mapas mentales","Lucidchart","Libre","Multimedia","1","1","4","1","5","4.9","3.9","0.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Creacion de video","Lumen5","Hibrida","Tablero","3","4","4","1","2","0.25","0.3","3"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Creacion de actividades educativas-interactivas","Mahara","Propietaria","Tablero","4","4","2","1","4","3.8","1.7","4.5"
